positiv,komparativ,superlativ
dortortig,—,—
nordwestatlantisch,—,—
versehentlich,—,—
zweigleisig,—,—
indogermanisch,—,—
habitabel,habitabler,am habitabelsten
hoffnungsvoll,hoffnungsvoller,am hoffnungsvollsten
buttrig,buttriger,am buttrigsten
perinatologisch,—,—
ununterscheidbar,ununterscheidbarer,am ununterscheidbarsten
buchhalterisch,—,—
interministeriell,—,—
gutbürgerlich,—,—
leidig,leidiger,am leidigsten
mehrmonatig,—,—
doppeldeutsch,—,—
oligotroph,oligotropher,am oligotrophsten
verpfändbar,—,—
ungerundet,—,—
ärmellos,—,—
gestielt,—,—
bestimmt,bestimmter,am bestimmtesten
fingerbreit,—,—
rassenkundlich,—,—
wohlerzogen,wohlerzogener,am wohlerzogensten
geblümt,—,—
feuerrot,feuerröterfeuerroter,am feuerrötestenam feuerrotesten
einwohnerreich,einwohnerreicher,am einwohnerreichsten
arschkalt,—,—
baskisch,baskischer,am baskischsten
kostenfrei,—,—
erwerbstätig,—,—
sachlich,sachlicher,am sachlichsten
waffentechnisch,—,—
promiskuitiv,promiskuitiver,am promiskuitivsten
missglückt,missglückter,am missglücktesten
admirativisch,—,—
schreckhaft,schreckhafter,am schreckhaftesten
sonor,sonorer,am sonorsten
friesisch,—,—
dreiteilig,—,—
hieisch,—,—
logistisch,—,—
antipsychiatrisch,—,—
schussbereit,—,—
chondritisch,—,—
achtstündig,—,—
bemützt,—,—
knatschig,knatschiger,am knatschigsten
unbeliebt,unbeliebter,am unbeliebtesten
topisch,topischer,am topischsten
jahrhundertelang,—,—
großbritannisch,—,—
elektrolytisch,—,—
neunstöckig,—,—
kugelig,kugeliger,am kugeligsten
stimmhaft,—,—
unbestreitbar,unbestreitbarer,am unbestreitbarsten
etymologisch,—,—
reliabel,—,—
tempelartig,—,—
emsig,emsiger,am emsigsten
authentisch,authentischer,am authentischsten
kolossal,kolossaler,am kolossalsten
überdimensioniert,—,—
sublim,sublimer,am sublimsten
volltrunken,—,—
präzise,präziser,am präzisesten
unbehaglich,unbehaglicher,am unbehaglichsten
fahrlässig,fahrlässiger,am fahrlässigsten
beleumundet,—,—
gelegentlich,—,—
italienisch,italienischer,am italienischsten
neodarwinistisch,—,—
langstielig,langstieliger,am langstieligsten
ausheimisch,—,—
siech,siecher,am siechsten
ozeanisch,—,—
fluffig,fluffiger,am fluffigsten
dunkelgrau,—,—
achtel,—,—
modisch,modischer,am modischsten
-,-,-
pontisch,—,—
hörbar,hörbarer,am hörbarsten
demokratisch,demokratischer,am demokratischsten
borniert,bornierter,am borniertesten
angebracht,angebrachter,am angebrachtesten
mandatorisch,—,—
habgierig,habgieriger,am habgierigsten
inert,inerter,am inertesten
abgekämpft,abgekämpfter,am abgekämpftesten
multilingual,—,—
zweifärbig,—,—
später,—,—
nordosteuropäisch,nordosteuropäischer,am nordosteuropäischsten
versorgungsrechtlich,—,—
hitzefrei,—,—
altersmäßig,—,—
doppelherzig,—,—
mehrminütig,—,—
seraphisch,—,—
patschnass,—,—
unzurechnungsfähig,unzurechnungsfähiger,am unzurechnungsfähigsten
leseerleichternd,—,—
narbig,narbiger,am narbigsten
kapitalkräftig,kapitalkräftiger,am kapitalkräftigsten
furchterregend,furchterregender,am furchterregendsten
polychrom,—,—
roh,roher,am rohstenam rohesten
waschbar,—,—
südwestatlantisch,—,—
außerkirchlich,—,—
eskapistisch,eskapistischer,am eskapistischsten
koronar,—,—
geschlechtsspezifisch,—,—
quickfidel,—,—
zanksüchtig,zanksüchtiger,am zanksüchtigsten
einwandfrei,einwandfreier,am einwandfreiestenam einwandfreisten
klatschsüchtig,klatschsüchtiger,am klatschsüchtigsten
beschickert,—,—
prognostizierbar,—,—
sackförmig,—,—
waadtländisch,—,—
barometrisch,—,—
kostbar,kostbarer,am kostbarsten
eisenfarbig,—,—
gastronomisch,—,—
feuchtheiß,—,—
rachenförmig,—,—
rapid,rapider,rapidest
wohlgeformt,wohlgeformter,am wohlgeformtesten
bestürzt,bestürzter,am bestürztesten
gestreift,—,—
änigmatisch,änigmatischer,am änigmatischsten
okkult,okkulter,am okkultesten
verquast,verquaster,am verquastesten
mehrtägig,—,—
gut,besser,am besten
bullig,bulliger,am bulligsten
internal,internaler,am internalsten
pelzig,pelziger,am pelzigsten
perlen,—,—
untrennbar,—,—
hochsommerlich,hochsommerlicher,am hochsommerlichsten
ethologisch,—,—
unbesiegbar,—,—
zonal,—,—
stocknüchtern,—,—
glimpflich,glimpflicher,am glimpflichsten
krüsch,krüscher,am krüschsten
neuphilologisch,—,—
großkotzig,großkotziger,am großkotzigsten
elfjährig,—,—
iterativ,—,—
Toskaner,—,—
wild,wilder,am wildesten
gekröpft,—,—
beneidenswert,beneidenswerter,am beneidenswertesten
knitz,knitzer,am knitzesten
citynah,citynäher,am citynächsten
unrentabel,unrentabler,am unrentabelsten
schwanger,—,—
scheibenförmig,—,—
lokutiv,—,—
hasenrein,—,—
antikommutativ,—,—
dreistufig,—,—
heterosexuell,—,—
blütenweiß,—,—
froh,froher,am frohstenam frohesten
verfügbar,—,—
sonnendurchflutet,—,—
mirakulös,mirakulöser,am mirakulösesten
höhnisch,höhnischer,am höhnischsten
afebril,—,—
andin,—,—
mandibular,—,—
ichthyologisch,—,—
dendrologisch,—,—
schnörkellos,schnörkelloser,am schnörkellosesten
achtfach,—,—
mittelständisch,—,—
duktil,duktiler,am duktilsten
59-jährig,—,—
fluviatil,—,—
10-jährig,—,—
siebenundzwanzigste,—,—
landgestützt,—,—
ausgestellt,—,—
neongelb,—,—
fahlblond,—,—
geldpolitisch,—,—
unbeeinflussbar,—,—
submissiv,submissiver,am submissivsten
überfreut,—,—
kombinatorisch,—,—
endogen,—,—
temporal,—,—
pädophil,pädophiler,am pädophilsten
wüst,wüster,am wüstesten
benutzerdefiniert,—,—
gerichtlich,—,—
possierlich,possierlicher,am possierlichsten
rot-weiß,—,—
weibisch,weibischer,am weibischsten
azurn,—,—
kryptisch,kryptischer,am kryptischsten
einbruchsicher,einbruchsicherereinbruchsichrer,am einbruchsichersten
fünfmonatlich,—,—
florid,florider,am floridesten
wurmartig,—,—
paritätisch,paritätischer,am paritätischsten
unwirksam,unwirksamer,am unwirksamsten
hinduistisch,—,—
zweitägig,—,—
nummerisch,—,—
vertragsgemäß,vertragsgemäßer,am vertragsgemäßesten
meterstark,—,—
halbstaatlich,—,—
chiliastisch,—,—
inhabergeführt,—,—
unverzüglich,—,—
diffusibel,—,—
pessimistisch,pessimistischer,am pessimistischsten
unvernünftig,unvernünftiger,am unvernünftigsten
literaturgeschichtlich,—,—
myxomatös,—,—
chancenlos,—,—
lebkuchenartig,—,—
gruslig,grusliger,am grusligsten
inständig,inständiger,am inständigsten
zäh,zäher,am zähstenam zähesten
ungebrochen,ungebrochener,am ungebrochensten
obsolet,obsoleter,am obsoletesten
verletzbar,verletzbarer,am verletzbarsten
dissoziativ,—,—
gewerbsmäßig,—,—
rebenumsponnen,—,—
wortkarg,wortkargerwortkärger,am wortkargstenam wortkärgsten
kasuistisch,kasuistischer,am kasuistischsten
Fleisch fressend,—,—
betäubungsmittelsuspekt,—,—
ganz,—,—
primär,primärer,am primärsten
rückfällig,—,—
vorurteilsgeprägt,—,—
erquicklich,erquicklicher,am erquicklichsten
ballistisch,—,—
agnostizistisch,—,—
milliardenschwer,—,—
anodisch,—,—
dramaturgisch,—,—
freihaltebedürftig,—,—
so genannt,—,—
sittenstreng,sittenstrenger,am sittenstrengsten
anteilmäßig,—,—
lungenkrank,—,—
blad,blader,am bladesten
indeterminabel,—,—
CO₂-intensiv,CO₂-intensiver,am CO₂-intensivsten
schweinern,—,—
kleinkrämerisch,kleinkrämerischer,am kleinkrämerischsten
eisenzeitlich,—,—
todblass,—,—
-,-,-
kurdisch,kurdischer,am kurdischsten
außerdienstlich,—,—
nichtig,nichtiger,am nichtigsten
ewig,ewiger,am ewigsten
gepunktet,—,—
undefinierbar,undefinierbarer,am undefinierbarsten
strafverschärfend,—,—
auxochrom,—,—
gotteslästerlich,gotteslästerlicher,am gotteslästerlichsten
enneaeterisch,—,—
kalihaltig,kalihaltiger,am kalihaltigsten
thematisch,—,—
Respekt einflößend,—,—
überragend,überragender,am überragendsten
behascht,—,—
kompress,—,—
beispielhaft,beispielhafter,am beispielhaftesten
fabulös,fabulöser,am fabulösesten
unausgeglichen,unausgeglichener,am unausgeglichensten
prußisch,—,—
visionär,—,—
stupsnasig,stupsnasiger,am stupsnasigsten
labyrinthartig,—,—
natriumarm,natriumärmer,am natriumärmsten
irre,irrer,am irrsten
dusselig,dusseliger,am dusseligsten
heizbar,—,—
formstabil,formstabiler,am formstabilsten
panhellenisch,—,—
sinnenfroh,sinnenfroher,am sinnenfrohestenam sinnenfrohsten
monokular,—,—
abspenstig,—,—
deflationär,—,—
poikilotherm,—,—
schmählich,schmählicher,am schmählichsten
mafios,mafioser,am mafiosesten
angstfrei,angstfreier,am angstfreiestenam angstfreisten
meißnisch,—,—
–,—,am allerliebsten allerliebst
burisch,—,—
sechsstrahlig,—,—
lehrreich,lehrreicher,am lehrreichsten
nachgiebig,nachgiebiger,am nachgiebigsten
distanzlos,distanzloser,am distanzlosesten
hochklappbar,—,—
ungewohnt,ungewohnter,am ungewohntesten
spiralförmig,—,—
kovalent,—,—
armselig,armseliger,am armseligsten
fieberfrei,—,—
transportfähig,—,—
besser,—,—
kindgerecht,kindgerechter,am kindgerechtesten
gesperrt,—,—
erstklassig,erstklassiger,am erstklassigsten
systemkonform,—,—
einsemestrig,—,—
felllos,—,—
geduldig,geduldiger,am geduldigsten
zahlentheoretisch,—,—
umgerechnet,—,—
konzertiert,—,—
geschützt,geschützter,am geschütztesten
beamtet,—,—
epistemisch,—,—
provisorisch,provisorischer,am provisorischsten
wallartig,—,—
tablettenförmig,—,—
archäologisch,—,—
kameraüberwacht,—,—
fängig,fängiger,am fängigsten
gängig,gängiger,am gängigsten
intradisziplinär,—,—
bronchial,—,—
sessil,—,—
unzerkaut,—,—
hochelegant,—,—
altkatholisch,—,—
medisch,—,—
deterministisch,—,—
unerforscht,unerforschter,am unerforschtesten
stabil,stabiler,am stabilsten
verschwunden,—,—
lichtdurchlässig,lichtdurchlässiger,am lichtdurchlässigsten
ingenieurgeologisch,—,—
abgeschottet,abgeschotteter,am abgeschottetsten
mosaikartig,mosaikartiger,am mosaikartigsten
reproduktiv,reproduktiver,am reproduktivsten
weißhaarig,—,—
ausländisch,—,—
gelt,—,—
pseudoglazial,—,—
zertalt,zertalter,am zertaltesten
vollwertig,vollwertiger,am vollwertigsten
kohortativ,—,—
belastend,belastender,am belastendsten
empathisch,empathischer,am empathischsten
griechisch-uniert,—,—
irreführend,irreführender,am irreführendsten
rekombinant,—,—
ozonhaltig,—,—
utopisch,utopischer,am utopischsten
8-seitig,—,—
bichrom,—,—
ideologisch,ideologischer,am ideologischsten
postalisch,—,—
unmischbar,—,—
savannenartig,—,—
mittelgradig,—,—
heringsähnlich,—,—
drohend,—,—
fungizid,—,—
ostfälisch,—,—
designiert,—,—
mitral,—,—
häcklich,häcklicher,am häcklichsten
adlerartig,adlerartiger,am adlerartigsten
oscarnominiert,—,—
vergnüglich,vergnüglicher,am vergnüglichsten
solubel,—,—
marshallisch,—,—
bloßfüßig,—,—
frühneuhochdeutsch,—,—
luminös,luminöser,am luminösesten
handysch,—,—
antibolschewistisch,—,—
picksüß,—,—
unschlächtig,—,—
schummrig,—,—
scheußlich,scheußlicher,am scheußlichsten
gehoben,gehobenergehobner,am gehobensten
fangfrisch,fangfrischer,am fangfrischestenam fangfrischsten
kochecht,—,—
top,—,—
reiflich,reiflicher,am reiflichsten
windreich,windreicher,am windreichsten
auktorial,—,—
latinisch,latinischer,am latinischsten
neunjährlich,—,—
glazial,—,—
kulturlich,—,—
jazzig,jazziger,am jazzigsten
unberechtigt,unberechtigter,am unberechtigtsten
preußisch,preußischer,am preußischsten
zuckerig,—,—
viel,mehr,am meisten
bedröppelt,bedröppelter,am bedröppeltsten
erledigt,—,—
barhäuptig,—,—
räuberisch,räuberischer,am räuberischsten
supraleitend,—,—
asymmetrisch,asymmetrischer,am asymmetrischsten
kaukasisch,kaukasischer,am kaukasischsten
ehrrührig,ehrrühriger,am ehrrührigsten
fiskalisch,fiskalischer,am fiskalischsten
bewundernswürdig,bewundernswürdiger,am bewundernswürdigsten
fürnehm,fürnehmer,am fürnehmsten
raß,raßer,am raßesten
trotzig,trotziger,am trotzigsten
kriegsbereit,—,—
baden-württembergisch,baden-württembergischer,am baden-württembergischsten
direktiv,—,—
zyklisch,zyklischer,am zyklischsten
ungehorsam,ungehorsamer,am ungehorsamsten
spiegelbildlich,—,—
obersorbisch,obersorbischer,am obersorbischsten
lax,laxer,am laxesten
gummös,—,—
mühevoll,mühevoller,am mühevollsten
handlungsfähig,handlungsfähiger,am handlungsfähigsten
bös,böser,am bösesten
seetüchtig,seetüchtiger,am seetüchtigsten
perplex,perplexer,am perplexesten
alkoholisiert,alkoholisierter,am alkoholisiertesten
merkmalhaltig,—,—
seitenverkehrt,—,—
lieferbar,—,—
muskulös,muskulöser,am muskulösesten
abenteuerlustig,abenteuerlustiger,am abenteuerlustigsten
diastratisch,—,—
hunderterste,—,—
unerschütterlich,unerschütterlicher,am unerschütterlichsten
steirisch,steirischer,am steirischsten
masochistisch,masochistischer,am masochistischsten
amnestisch,—,—
bouquetreich,bouquetreicher,am bouquetreichsten
selbsttätig,—,—
tschetschenisch,—,—
apophatisch,—,—
bezifferbar,—,—
kapverdisch,—,—
geöffnet,—,—
erdig,erdiger,am erdigsten
tanzbar,tanzbarer,am tanzbarsten
kontinental,kontinentaler,am kontinentalsten
einfühlsam,einfühlsamer,am einfühlsamsten
faustisch,—,—
tönern,—,—
helllila,—,—
polyamorös,—,—
unkonzentriert,unkonzentrierter,am unkonzentriertesten
satirisch,satirischer,am satirischsten
deliriös,deliriöser,am deliriösesten
dauerkrank,—,—
immediat,—,—
papierdeutsch,—,—
vektoriell,—,—
löslich,löslicher,am löslichsten
14-tägig,—,—
dystopisch,—,—
binär,—,—
granular,—,—
nebensächlich,nebensächlicher,am nebensächlichsten
invertiert,—,—
präliminär,—,—
zeitinvariant,—,—
vokalisch,vokalischer,am vokalischsten
struppig,struppiger,am struppigsten
behände,behänder,am behändesten
fadennackend,—,—
genotypisch,—,—
extinkt,—,—
überkandidelt,überkandidelter,am überkandideltsten
restringiert,restringierter,am restringiertesten
westafrikanisch,—,—
autokratisch,autokratischer,am autokratischsten
käuflich,—,—
entnervt,entnervter,am entnervtesten
nihilistisch,nihilistischer,am nihilistischsten
prokonsularisch,—,—
zungenbrecherisch,zungenbrecherischer,am zungenbrecherischsten
vierstündig,—,—
konsensual,—,—
befremdlich,befremdlicher,am befremdlichsten
entwickelbar,—,—
globalisiert,globalisierter,am globalisiertesten
junior,—,—
wettbewerbsrechtlich,—,—
redelustig,redelustiger,am redelustigsten
wiedereintrittsfähig,—,—
aufgelöst,—,—
gefühlsbetont,gefühlsbetonter,am gefühlsbetontesten
planbar,planbarer,am planbarsten
unterdurchschnittlich,unterdurchschnittlicher,am unterdurchschnittlichsten
schlecht,schlechter,am schlechtesten
morgendlich,—,—
hawaiianisch,—,—
französisch,französischer,am französischsten
verantwortungsethisch,—,—
ordoliberal,—,—
verdreckt,verdreckter,am verdrecktesten
blaugestreift,—,—
hunderttausendfach,—,—
alexandrinisch,—,—
merowingisch,—,—
ungalant,ungalanter,am ungalantesten
segensreich,segensreicher,am segensreichsten
insolvent,—,—
Bündner,—,—
handfest,handfester,am handfestesten
männermordend,—,—
lebensfremd,lebensfremder,am lebensfremdesten
speditiv,speditiver,am speditivsten
ungemein,—,—
diminutiv,—,—
kreisförmig,kreisförmiger,am kreisförmigsten
Bad Rappenauer,—,—
trillionstel,—,—
finnisch,finnischer,am finnischsten
fünfzigste,—,—
eichen,—,—
kauzig,kauziger,am kauzigsten
atemraubend,atemraubender,am atemraubendsten
surinamisch,—,—
erneut,—,—
tyrrhenisch,—,—
würfelig,—,—
fatalistisch,fatalistischer,am fatalistischsten
eingleisig,—,—
geschafft,—,—
kontaminiert,—,—
tatkräftig,tatkräftiger,am tatkräftigsten
wechselfeucht,—,—
pongid,—,—
erfahrungsreich,erfahrungsreicher,am erfahrungsreichsten
fünfundzwanzigminütig,—,—
bezähmbar,—,—
karikaturistisch,—,—
aprikosenfarben,—,—
unvorbereitet,unvorbereiteter,am unvorbereitetsten
semantisch,—,—
braun,brauner,am braunsten
matt,matter,am mattesten
hip,hipper,am hipstenam hippsten
amerikanisch,amerikanischer,am amerikanischsten
vertouristet,vertouristeter,am vertouristetsten
steigend,—,—
unfehlbar,unfehlbarer,am unfehlbarsten
diametral,—,—
humoral,—,—
munter,munterer,am muntersten
innerlich,—,—
abfahrtbereit,—,—
liniiert,—,—
niveaugleich,—,—
autochthon,—,—
Kärntner,—,—
retrospektiv,—,—
werktätig,—,—
vierzehntägig,—,—
prorussisch,—,—
geneigt,geneigter,am geneigtesten
exportorientiert,—,—
beidseitig,—,—
visumsfrei,—,—
prädiktabel,—,—
-,-,-
intravenös,—,—
graphithaltig,graphithaltiger,am graphithaltigsten
billiardste,—,—
machohaft,machohafter,am machohaftesten
3-minütig,—,—
pannengeplagt,—,—
venetianisch,—,—
pluripotent,—,—
deduzibel,—,—
immer während,—,—
polynesisch,—,—
unislamisch,unislamischer,am unislamischsten
